words, colour
trichtillomania,teal
attention deficit w/ hyperactivity,teal
attention deflict distorder,teal
attn deficit w hyperact,teal
auspergers,teal
austism,teal
austistic,teal
authism,teal
authistic,teal
autisim,teal
autism,teal
autistic,teal
attention deficit hyperactivity dis,teal
bp1,teal
bulemia,teal
bulemic,teal
bulimea,teal
bullemia,teal
circular insanity,teal
combat neurosis,teal
cyclophrenia,teal
cyclophrenic,teal
cyclothymia,teal
bp2,teal
attention deficit dis,teal
assburger,teal
assberger,teal
trichotilomania,teal
a.d.h.d.,teal
ad/hd,teal
add,teal
alternating insanity,teal
anancastic neurosis,teal
anancastic personality,teal
anankastic personality,teal
anorectic,teal
apserger's,teal
asberger,teal
asburger,teal
aspberger,teal
asperger,teal
aspergian,teal
aspergic,teal
aspie,teal
aspurger,teal
deppression,teal
bolemia,teal
diagnos,teal
o.c.d.,teal
pipolar,teal
rapid cycling,teal
rumination,teal
schiizophrenia,teal
schitzo,teal
schyzophrenia,teal
shizophrenia,teal
shizophrenic,teal
skitsafrantic,teal
skitzafrenic,teal
skitzophrenia,teal
tricho-tillomania,teal
trichollomania,teal
trichotilimania,teal
trichotillomania,teal
trichotillomannia,teal
trichotillosis,teal
scizophrenia,teal
dpression,teal
dual-form insanity,teal
dysthemia,teal
dysthimia,teal
dysthymic,teal
distimea,teal
dystimea,teal
disthymia,teal
dipolar,teal
enxiety,teal
hysterical neurosis,teal
insanity of double form,teal
dystimia,teal
distimia,teal
eating disord,teal
bulimia,teal
bulimic,teal
anorexi,teal
cyclothymic,teal
merycism,teal
llpdd,teal
excoriation,teal
do not deserve to,red
social anxie,teal
mental disease,teal
kill themselves,red
mentally ill,pink
mental health,pink
adhd,teal
anxiety,teal
ocd,teal
ptsd,teal
ptsr,teal
ptss,teal
schizo,teal
depres,teal
mdd,teal
dysthymia,teal
coping,pink
i have felt,red
a poem about,red
important to me,red
i dont want to,red
so angry,purple
dehumanizing,red
cishet,yellow
trauma,pink
lot of pain,red
how are you doing,red
bpd,purple
controlled,red
ableist,yellow
suicidal,pink
a lot to me,red
break my fast,red
i can not afford,red
want to kill,red
blade,red
counselling,yellow
b/p,red
disorder,purple
harm,pink
wrists,pink
mend,red
a friend of mine,red
will be skinny,red
if you ever need,red
ed but,red
i used to have,red
as a child,red
masturbate,red
i will never be,purple
voices in my,red
want to hug,red
want to die,pink
getting worse,red
hear voices,red
days clean,red
dysphoria,red
celexa,yellow
illness,purple
health issues,pink
reach my goal,red
edproblems,red
they do not care,pink
im screaming,red
run away,purple
ranting,red
citalopram,yellow
nausea,pink
borderline,pink
suicide,purple
i do not give a,purple
i have been there,red
genderfluid,yellow
god dammit,red
insecure,pink
gender identity,red
fed,purple
modelling,red
the loss of,red
i am sorry that,red
sorry for being,red
kill myself,red
diseases,red
unbearable,red
number on the scale,red
edprobs,red
okay and,pink
no one would,red
to die in,red
i give up,purple
horrid,pink
sexually,purple
ill people,red
effects,purple
and that i,red
need to talk,red
relapsing,red
emo,red
i am sorry for,red
a cis,red
hipbones,red
wish i was dead,red
deal with it,red
getting bad again,red
feel sick,purple
grieving,red
thinspo,yellow
now i want to,red
i am so sick,red
bothered,purple
admitted,red
prescribed,red
scars,pink
abusive,pink
i was a kid,red
stereotype,red
veteran,red
i stan,red
going to try and,red
weight now,red
outpatient,red
really sad,purple
a victim,red
puking,red
dizzy,red
anal,red
am fasting,red
weeks clean,red
my existence,red
trigger,purple
not racist,red
irl friends,red
mental hospital,red
manic,pink
it is racist,red
hearing voices,red
survivor,red
i totally get it,red
oppressed,pink
calories but,red
ednos,red
intersectional,red
i am scared,purple
wanting to die,red
stains,red
sorry i have not been,red
all food,red
want to help,red
afraid that,red
tense,pink
worthless,purple
much xx,red
feel better soon,red
and never wake up,red
have to deal with,red
the voices in,red
not alone,purple
masturbating,red
gendered,red
picslip,yellow
love xx,red
gives a shit,red
effexor,yellow
erotic,red
calories for,red
attempts,red
do not want to eat,red
was forced,red
offend,red
to make up for,red
fat on my,red
weeb,red
do you think you,red
dietician,red
thigh,red
feel like shit,red
actually crying,red
months clean,red
alcoholism,red
to purge,red
where is the lie,red
shit like this,pink
horrifying,red
tendencies,pink
my sex,red
to hurt myself,red
useless,purple
blocked me for,red
hid,red
wellbutrin,yellow
recover,purple
vile,pink
not know if i can,red
fat and disgusting,red
is bloody,red
hate everything,red
razor,red
guilt,red
hour fast,red
as someone,pink
duloxetine,yellow
horny,red
counsellor,yellow
not eat i,red
feel the same way,red
end my life,red
weight loss,red
free will,red
hallucinating,red
paranoid,pink
feel comfortable,pink
the military,red
i want him,pink
all ok,red
me to kill,red
sexuality,pink
bodyslip,red
thinner than,red
apologising,yellow
destructive,pink
syndrome,red
it is why i,red
orgasm,pink
not purge,red
disgusted with myself,red
damage,purple
cannibal,red
wanker,red
before i was,red
sorry to hear that,red
it hurts so much,red
intersex,yellow
broke my fast,red
hope you are well,red
hope you are ok,red
problematic,pink
identifying as,yellow
so skinny and,red
criticising,red
disappear,purple
manipulating,red
unstable,red
am such a fat,red
our bodies,red
no one likes me,red
helped me a lot,red
i would feel,pink
vaginas,red
treatment,purple
insulted,pink
underweight,red
over calories,red
my mental,pink
injection,red
drained,red
isolated,red
sorrow,red
cuts,purple
weight i will,red
compassion,red
go to the hospital,red
what i am going,red
rough day,red
esteem,red
purged,red
kill him,pink
not available,red
threatening,pink
misogynist,red
into my fast,red
oppression,red
shrink,pink
i have not spoken to,red
voices are,red
collarbones,red
vulnerable,red
inpatient,red
posh,pink
underage,red
i can not bring myself,red
i have lost,purple
hallucinations,red
want to get better,red
psych,purple
healing,red
cals,red
i was a teenager,red
i need to lose,red
nostalgic,red
pansexual,red
cries,purple
rapist,red
soz,red
lowest weight,red
the feels,red
racists,red
and apparently,red
that feel when,red
purging,red
i used to love,pink
overwhelming,red
toxic,red
rants,red
doxycycline,yellow
hurtful,red
resist,purple
ate so much today,red
fear food,red
sad all the time,red
i cut,purple
vent,purple
empathy,pink
insomnia,red
to live anymore,red
seroquel,yellow
grave,purple
theories,red
fasted,red
i have been feeling,pink
endure,red
not realise,red
the army,red
the bottom of the,red
hope i die,red
restless,red
distress,red
fetish,pink
divorced,red
just got back from,red
not to cut,red
restrict,red
me full,red
stabbed,red
talentless,red
lethal,red
overdose,red
consent,pink
hope she is ok,red
weighing myself,red
surgeon,red
save me from myself,red
punish,red
relapse,red
outed,red
colouring,red
low calorie,red
near the end of,red
rest of my life,red
care of yourself,red
ehat,red
for mental,red
a burden,pink
when i came out,red
fuc,red
and ugh,red
weighed myself,red
failings,yellow
cryinf,red
am not worth,red
health it,yellow
narcissistic,red
obsessive,pink
stigma,red
so fat and,red
i am sorry you,red
am so stressed,red
a deep breath,red
pill,purple
f u c k,red
harsh,purple
what i ate,red
need to be skinny,red
to love myself,red
doctors,purple
im so fat,red
drink lots of water,red
now xx,red
controlling,red
misogyny,red
thinspiration,red
lose weight,purple
disturbed,red
panic,purple
to cut but,red
would kill,purple
shaming,pink
nudes and,red
it is my fault,red
angry i,red
not eaten,red
refused,red
agony,red
whiny,pink
terror,red
suffer,purple
it pisses me off,pink
does get better,red
will never get over,red
i will be dead,red
prescription,red
commit,red
bugging,pink
pedophiles,red
disgrace,red
intention,red
cunts,red
younger i,red
chest bones,red
not defending,red
sadness,purple
smoking weed,red
condition,red
xanax,pink
urges,pink
i want to lose,red
i am crying so,red
appropriation is,yellow
cutting,purple
needle,red
quit smoking,red
weight and i,red
am lbs,red
realised how,red
labelled,red
swear to god i,pink
i need to cut,red
a bad person,red
my weight,purple
reject,pink
and i was like,pink
i am so worried,red
hatred,red
you are so pretty,pink
dildos,red
am still alive,red
attacking,red
apologist,red
counting calories,red
loneliness,red
drowning,red
erasure,yellow
i have a headache,red
sexism,red
to swallow,red
marks,red
can not do this anymore,red
vomiting,red
abuse,red
moan,pink
femininity,red
please stay,red
want to be skinny,red
agender,yellow
hate life,red
been clean,red
intolerant,pink
myself to eat,red
so alone,red
bawling,red
i purge,red
so scared,purple
they/them,yellow
horrendous,red
grin,red
ableism,red
bullies,red
victim of,red
alone and,purple
anxious,purple
androgynous,red
lexapro,yellow
assure,red
crying so much,red
my own fault,red
not stop crying,pink
failure,purple
heroin,red
lgbt+,yellow
health problems,red
killing people,red
tired omg,red
attacks,red
fat pig,red
am fat i,red
im crying so,red
not sleeping,purple
feel sad,red
be alone,purple
hate people,purple
drowned,red
too x,red
i want to cut,red
manipulate,red
too fat for,red
masturbation,red
forced to eat,red
am struggling,red
how hard it is,red
bleed,purple
threatened,red
i have been following,red
wreck,purple
my lw,red
i have never liked,red
med,purple
can get away with,red
in pain,purple
to therapy,red
as long as they,red
feel so much better,red
pissed off,purple
weight again,yellow
still struggle,red
broke down,red
worrying,purple
thyroid,red
am going through,red
am losing,red
exploited,red
this is too much,red
give a shit,red
to hate me,red
my wrist,red
escape,red
i self,red
have gained so,red
measurements,red
and i am trying,red
reason to live,red
do not cut,red
made me eat,red
deserve to die,red
bmi,red
am disgusting,red
laxative,red
got my period,red
my own skin,red
gained weight,red
i actually feel,red
let me die,red
not :),red
hate myself,pink
bullied,red
fat it is,red
look in the mirror,red
feel so fat,red
flesh,red
strain,red
am still fat,red
weight does,red
get what you mean,red
abdominal,red
you feel better,purple
died in,red
raping,pink
self-care,red
purge but,red
feel happy,red
gutted,red
devastated,pink
feel shit,red
scales,red
i am shit,red
it makes me feel,red
water fast,red
i am a fat,red
whereas,red
my ed,red
bloat,red
i hate my life,red
a waste of space,red
clean from,red
innocence,red
to try and sleep,red
am going to end,red
am not the only one,purple
dizziness,red
abortion,pink
because i am fat,red
am thin,red
need someone to talk,red
sob,red
i am fat and,red
you will be fine,red
how fat i am,red
kill herself,red
fraud,red
betrayed,pink
personalities,pink
fat fat,red
my hip bones,red
paranoia,red
virginity,pink
not gain,red
i cant do this,red
so sorry to,red
abusing,pink
deserve to be happy,red
want to live,red
you realise,red
commenting,pink
be thin,red
help i,red
drop dead,red
edgy,red
weight it,red
i feel like it,red
being fat,red
flashbacks,red
someone to talk to,pink
sorry for your,red
haunt,red
delusion,red
i do not care about,pink
hate my body,red
die right now,red
bothering,pink
imaginary,pink
am just sick of,red
bully,red
water weight,red
i am already dead,red
mentalhealth,red
not well,red
i am so pathetic,red
go for a walk,red
i have been up,red
i am trash,red
void,red
safe space,red
do not want him to,red
feel so ill,red
it is not the same,red
a piece of shit,red
i can not deal with,red
are feeling better,red
in prison,red
lucid,red
overweight,pink
fu ck,yellow
veganism,red
whining,red
gasp,pink
have lost weight,red
replying,red
consciousness,red
desperation,red
put on weight,red
i should probably sleep,red
fat today,red
im here for you,red
it makes me sad,red
aggressively,red
choking,red
never happened,red
i am a size,red
when i reach,red
to feel something,red
calorie intake,red
so ugly and,red
any weight,red
hospitalized,red
blowjob,red
choked,red
guts,red
acid,red
deeper,red
i feel so sick,red
love and care,red
murdering,pink
hope you feel,red
kilos,red
self hate,red
a few years ago,red
hateful,red
fat i can,red
pro ana,red
shitting,pink
violent,red
eds,red
people i love,red
cum,pink
body so much,red
my metabolism,red
this is so ugly,red
deprivation,red
cryig,yellow
threats,red
fat like,red
to talk about it,pink
be more active,red
am so fat,red
in danger,pink
clingy,red
lucifer,red
feel so disgusting,red
i felt like i,pink
would like to talk,red
more calories,red
i will never forget,red
have loads,red
misunderstanding,pink
not belong,red
weigh myself,red
grief,red
struggled with,red
want to hurt,red
fatter,red
so cute im,red
your ed,red
not skinny,red
and suddenly i,red
insults,red
for nudes,red
i wanna die,red
not felt,red
queer,red
spectrum,red
patches,red
scared i,red
harass,pink
cut but i,red
disabled,pink
gain weight and,red
feels that way,red
physical health,red
am so sad and,red
how skinny,red
weight this,red
cellulite,red
rest of his life,red
breakdown,purple
blue hair,red
the victim,red
nightmares,red
asexual,red
healed,red
forgiveness,red
makes me cry,red
intercourse,red
in the mirror i,red
myfitnesspal,red
hot water bottle,red
mourning,pink
weight at,red
i am so tired,red
starve,red
prostate,red
calories i,red
i should be happy,red
not blame yourself,yellow
tried to kill,pink
my death,red
stained,red
i want to sleep,pink
assault,red
very sad and,red
painkillers,red
is skinny,red
amazingly,red
unwell,red
imagining,red
and purge,red
accusing,red
all women,red
like calories,red
want to talk,red
apologizing,red
racism,pink
to help you,red
have to fight,red
scaring me,red
upsetting,red
misgender,yellow
this disease,red
rape,red
eat nothing,red
i can not handle this,red
i am drinking,red
i wanna hug,red
own life,red
cope,red
skinnier,red
i would be dead,red
abnormal,red
aroused,red
calming,red
purge and,red
abandon,red
to look after,red
to get help,red
been crying,red
swallowing,red
paxil,yellow
perceived,red
eaten so much,red
broken i am,red
a rough,red
murderer,pink
make me eat,red
fat again,red
i am afraid to,red
made me feel,red
ded,red
the weight i,red
weight but i,red
liquid fast,red
body posi,red
you are lovely,red
trans,red
be skinny and,red
want to cry,red
weight since,red
to jump off a,red
am too fat,red
i feel sorry for,red
want a hug,red
oppressing,red
fasting and,red
terrified,purple
puke,red
so much weight,red
on the edge of,red
am still not over,red
and i just feel,red
fearless,red
lose more,red
but i can not eat,red
how to explain,red
not hate you,red
wanted to die,red
erection,red
furiously,red
sjw,yellow
have lost so much,red
i wanna kill,red
sedated,red
vibrator,red
realise it,red
beat the shit out,red
capitalist,red
in the hospital for,red
bi,red
cymbalta,yellow
porn video,yellow
much fat,red
offensive,red
myself in the mirror,red
am going to kill,red
cringing,red
the navy,red
bleach,red
afghanistan,red
they have no idea,red
severely,red
am skinny,red
hetero,red
an ed,red
constipation,red
pains,pink
i am afraid of,pink
curiosity,pink
was in hospital,red
hysterically,red
torture,purple
to stop myself from,red
coward,red
it was in the,pink
boobs,purple
despite,purple
lunatic,red
wiped,red
i am a mess,red
deserved better,red
body image,red
cruel,purple
paracetamol,red
you need to eat,red
i am nervous,pink
i have to eat,red
kill yourself,pink
you are stronger than,red
survived,purple
i will miss you,red
feminist,red
you are not fat,red
